name,status,location,price,score,cuisines
4 Charles Prime Rib,OPERATIONAL,West Village New York United States,★★★,10.0,American Burgers Steakhouse
SAGA,OPERATIONAL,Financial District New York United States,★★★★,9.99590570719603,Global
Le Bernardin,,Theater District New York United States,,9.99181141439206,French
Peter Luger Steak House,OPERATIONAL,Southside New York United States,★★★★,9.987717121588089,American Steakhouse
Don Angie,OPERATIONAL,West Village New York United States,★★★,9.983622828784119,Italian
The Mad Hatter Restaurant,, Sanibel United States,★★★,9.97952853598015,
Vetri Cucina,OPERATIONAL,Washington Square West Philadelphia ,★★★★,9.975434243176178,American Italian
Bern's Steak House,,Historic Hyde Park North Tampa ,★★★★,9.971339950372208,American Dessert Steakhouse
Misi,OPERATIONAL,Williamsburg New York United States,★★★,9.967245657568238,Italian
The Daily Catch Restaurant,OPERATIONAL,North End Boston ,★★,9.963151364764268,Italian Seafood
I Sodi,OPERATIONAL,West Village New York United States,★★★,9.959057071960299,Italian
L'Artusi,OPERATIONAL,West Village New York United States,★★★,9.954962779156327,Italian
Marea,OPERATIONAL,Midtown West New York United States,★★★★,9.950868486352357,Italian Seafood
Oxomoco,OPERATIONAL,Greenpoint New York United States,★★★,9.946774193548388,Mexican
The Four Horsemen,OPERATIONAL,Williamsburg New York United States,★★★,9.942679900744416,American
Vernick Food & Drink,,Center City West Philadelphia ,★★★,9.938585607940446,American French
Barclay Prime,,Rittenhouse Square Philadelphia ,★★★★,9.934491315136476,Steakhouse
Raoul's,OPERATIONAL,South Village New York United States,★★★,9.930397022332507,Bistro French
Au Cheval,OPERATIONAL,Lower Manhattan New York United States,★★★,9.926302729528537,American Diner
Lilia,OPERATIONAL,Williamsburg New York United States,★★★,9.922208436724565,Italian
Via Carota,OPERATIONAL,West Village New York United States,★★★,9.918114143920596,Italian
Fiorella Pasta,,Bella Vista Philadelphia ,★,9.914019851116626,Italian
Pelican & Pig,,Greenwood Nashville ,,9.909925558312654,American
Laser Wolf,,Olde Kensington Philadelphia ,★★,9.905831265508684,Israeli Middle Eastern
Chubby Fish,,Cannonborough Elliotborough Charleston United States,,9.901736972704715,Seafood
Angelo's Pizzeria,,Bella Vista Philadelphia United States,,9.897642679900745,Pizza
Joe's Stone Crab,OPERATIONAL,South Beach Miami Beach ,★★★,9.893548387096775,American Seafood
Thai Diner,OPERATIONAL,Nolita New York United States,★★,9.889454094292804,Thai
The Salt House,,Prallsville New Hope ,★★,9.885359801488834,Gastropub
